# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8439230227629115,4.960177426293095,-0.06984660914654732,0,1.0,-0.2547097942781407,180.0,0.0,0.025662730348329086
 0.13845022645906907,1.8535072482446755,4.9601657426055965,-0.06984660914654732,0.13845022645906904,0.9999999999999998,-0.2547097942781407,-179.99644698917172,-2.441838934777747,0.18638230986909776
 0.19563629433596544,1.8630597316233768,4.960130816502325,-0.20948577621519585,0.19563629433596538,0.9999999999999996,-0.2551743903037134,-179.9857885177485,-3.1855080613614564,0.4058006045585556
 0.2394071727488241,1.8725806724280758,4.960072835422119,-0.34891826225222927,0.23940717274882403,1.0,-0.25561231890290753,-179.9680262688265,-3.781989517478321,0.6754557074765357
 0.276216724108739,1.8820702701878345,4.959991986803814,-0.4881315996385073,0.27621672410873893,1.0,-0.2560231180281406,-179.9431630472708,-4.296122191436287,0.9879379413055933
 0.3085672055127833,1.8915287244317136,4.9598884580862475,-0.6271132207020691,0.30856720551278327,1.0,-0.2564063280964923,-179.91120277927223,-4.755195141553716,1.338509793515049
 0.33774313514274157,1.9009562346887756,4.959762436708256,-0.7658504595287596,0.3377431351427415,1.0,-0.25676149107654556,-179.87215051172763,-5.173893523198406,1.7238117842643539
 0.36450829634306336,1.9103530004880807,4.959614110108676,-0.9043305537104658,0.3645082963430633,1.0,-0.25708815148436365,-179.82601241144278,-5.561211542767072,2.141298278951518
 0.3893608111969634,1.9197192213586907,4.9594436657263445,-1.0425406461827649,0.38936081119696336,1.0,-0.2573858563047604,-179.7727957641585,-5.92312788879665,2.588949276838879
 0.41264701123859704,1.9290550968296671,4.9592512910001,-1.1804677870734628,0.41264701123859704,1.0000000000000024,-0.2576541552356011,-179.7125089734004,-6.2638495589542815,3.0651060847340483
 0.4346193059608905,1.9383608264300716,4.9590371733687775,-1.3180989356789141,0.4346193059608905,1.0,-0.2578926008721013,-179.64516155915152,-6.586463738154075,3.568369966059808
 0.45546843413700855,1.9476366096889648,4.958801500271214,-1.455420962383042,0.45546843413700855,1.0,-0.2581007488274556,-179.57076415634933,-6.893309995185056,4.097535839942356
 0.4753427308666143,1.9568826461354087,4.958544459146247,-1.5924206506765073,0.4753427308666143,1.0,-0.2582781585362279,-179.48932851320612,-7.186206994454504,4.651546877241714
 0.4943602805520406,1.966099135298464,4.9582662374327136,-1.7290846992433038,0.4943602805520406,1.0,-0.25842439271787726,-179.40086748935408,-7.466597786861779,5.229462247229412
 0.5126169255044842,1.9752862767071933,4.95796702256945,-1.8653997240407405,0.5126169255044842,1.0,-0.25853901791643674,-179.3053950538142,-7.735646831911989,5.830433508812778
 0.5301917372004511,1.9844442698906564,4.957647001995293,-2.001352260458096,0.5301917372004511,1.0,-0.25862160492281216,-179.20292628279097,-7.994307019205583,6.4536868925352024
 0.5471508688289871,1.993573314377916,4.9573063631490815,-2.136928765475733,0.5471508688289871,1.0,-0.2586717287187645,-179.0934773572911,-8.243367317787863,7.09850971958399
 0.563550338762968,2.0026736096980327,4.95694529346965,-2.272115619958556,0.563550338762968,1.0,-0.2586889687679558,-178.97706556056872,-8.483487472470902,7.764239802086336
 0.579438086735358,2.011745355380068,4.956563980395836,-2.4068991308481014,0.579438086735358,1.0,-0.2586729093162151,-178.85370927539597,-8.715223831195532,8.450257039904875
 0.5948555223968295,2.0207887509530833,4.956162611366476,-2.5412655335408814,0.5948555223968295,1.0,-0.2586231396291375,-178.72342798116034,-8.939048903691234,9.155976667427641
 0.6098387115589416,2.0298039959461405,4.955741373820406,-2.6752009941942587,0.6098387115589416,1.0,-0.2585392541626273,-178.5862422507884,-9.155366434785932,9.880843761014377
 0.6244192986804079,2.0387912898883003,4.955300455196467,-2.8086916121256027,0.6244192986804079,1.0,-0.2584208524397441,-178.44217374749732,-9.364523182538584,10.624328724449246
 0.6386252339482157,2.0477508323086244,4.954840042933492,-2.9417234222706314,0.6386252339482157,1.0,-0.25826754010924785,-178.29124522137388,-9.566818236553404,11.385923543268616
 0.6524813533040541,2.056682822736174,4.954360324470318,-3.0742823976119267,0.6524813533040541,1.0,-0.2580789282467283,-178.1334805057819,-9.762510483241954,12.165138651067815
 0.6660098462299069,2.065587460700011,4.953861487245784,-3.2063544516230293,0.6660098462299069,1.0,-0.25785463413137766,-177.96890451359891,-9.951824664759293,12.96150028829581
 0.6792306367638367,2.0744649457291957,4.953343718698726,-3.337925440946208,0.6792306367638367,1.0,-0.2575942813684001,-177.79754323328189,-10.134956297499869,13.774548261247592
 0.6921616966534356,2.08331547735279,4.952807206267979,-3.4689811678076468,0.6921616966534356,1.0,-0.25729749985552797,-177.61942372476352,-10.31207575944706,14.603834029434612
 0.7048193048686503,2.092139255099856,4.9522521373923825,-3.59950738265634,0.7048193048686503,1.0,-0.2569639265245868,-177.43457411517892,-10.483331678426127,15.448919064464592
 0.7172182643010432,2.100936478499454,4.951678699510772,-3.7294897868534647,0.7172182643010432,1.0,-0.25659320461375096,-177.2430235944243,-10.648853755868117,16.309373435393294
 0.7293720839840608,2.1097073470806462,4.951087080061985,-3.858914035233111,0.7293720839840608,1.0,-0.2561849849694636,-177.04480241054753,-10.808755169967021,17.184774584175862
 0.7412931333160006,2.1184520603724932,4.950477466484858,-3.9877657388311465,0.7412931333160006,1.0,-0.25573892547893756,-176.8399418649713,-10.96313460378381,18.074706261736047
