# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.948648457866988,4.9887389085942075,-0.07806130232107301,0,3.0,-0.2854112205766193,180.0,0.0,0.04446077873504214
 0.0799133737503309,1.9582276699327228,4.988725857611429,-0.07806130232107301,0.23974012125099273,3.0,-0.2854112205766193,-179.99644698917172,-4.739697149159838,0.3231964365048239
 0.11289168111810992,1.967765166682759,4.988686844245795,-0.2343684917362521,0.3386750433543298,3.000000000000001,-0.2868291009258913,-179.9857885177485,-6.201024614099732,0.7042365818134606
 0.13811367239305616,1.9772612280752913,4.98862207787136,-0.3907706804488024,0.41434101717916855,3.0000000000000004,-0.2882212412134903,-179.9680262688265,-7.38331671572723,1.1731237123584668
 0.1593077044408099,1.9867161340685155,4.988531767862182,-0.5472529315406413,0.4779231133224298,3.0000000000000013,-0.2895867279397606,-179.9431630472708,-8.411064087662462,1.7171816178102337
 0.17791975319970152,1.996130164620627,4.988416123592316,-0.7038000664543772,0.5337592595991046,3.0,-0.2909246402813473,-179.91120277927223,-9.33647127428062,2.3283415830870324
 0.1946923212061654,2.005503599689822,4.988275354435815,-0.8603966658426453,0.5840769636184963,3.0,-0.2922340498842251,-179.87215051172763,-10.187531779562361,3.000907545118281
 0.2100670368850622,2.014836719234295,4.988109669766736,-1.0170270704231423,0.6302011106551867,3.0,-0.29351402198945964,-179.82601241144278,-10.981327711291577,3.7305824556030247
 0.22433200701173672,2.0241298032122423,4.987919278959133,-1.1736753821759398,0.6729960210352102,2.9999999999999942,-0.2947636153155037,-179.7727957641585,-11.729169228382245,4.513971242631395
 0.23768760622086438,2.03338313158186,4.987704391387062,-1.330325465446246,0.7130628186625932,3.0000000000000084,-0.29598188300217415,-179.7125089734004,-12.438980571971234,5.348297600043317
 0.2502799148927539,2.042596984301342,4.987465216424579,-1.4869609483721449,0.750839744678262,3.000000000000009,-0.2971678724590031,-179.64516155915152,-13.116548883174122,6.231229414100102
 0.2622193569928704,2.0517716413288847,4.987201963445739,-1.64356522431615,0.7866580709786115,3.0000000000000044,-0.2983206265935101,-179.57076415634933,-13.766236307926379,7.160764621578782
 0.2735918356940701,2.060907382622684,4.986914841824595,-1.8001214535237244,0.8207755070822106,3.000000000000005,-0.299439183511133,-179.48932851320612,-14.391413192485631,8.13515307829883
 0.28446575816370506,2.0700044881409347,4.986604060935207,-1.9566125648072952,0.8533972744911156,3.000000000000005,-0.30052257785658937,-179.40086748935408,-14.994735390270698,9.152841077760154
 0.2948966653245272,2.079063237841833,4.986269830151626,-2.1130212575643026,0.884689995973582,3.0000000000000053,-0.3015698405422919,-179.3053950538142,-15.578329178252579,10.21243075140642
 0.304930395150223,2.088083911683574,4.985912358847909,-2.2693300036746433,0.9147911854506696,3.000000000000011,-0.3025799999601059,-179.20292628279097,-16.143918891960094,11.312649605116329
 0.31460531033988487,2.0970667896243533,4.985531856398111,-2.425521049783137,0.9438159310196551,2.9999999999999942,-0.30355208192195865,-179.0934773572911,-16.69291752201475,12.452327171036007
 0.3239539080054812,2.106012151622367,4.9851285321762875,-2.581576419561436,0.971861724016444,2.9999999999999942,-0.3044851108660518,-178.97706556056872,-17.22649265630389,13.630376784942028
 0.3330040089028403,2.1149202776358096,4.9847025955564925,-2.737477916208602,0.9990120267085214,3.0,-0.30537810970236284,-178.85370927539597,-17.74561546928013,14.845781138477909
 0.34177965317648257,2.1237914476228776,4.984254255912783,-2.8932071249838476,1.025338959529448,2.999999999999981,-0.3062301012008226,-178.72342798116034,-18.251097838203933,16.09758066619191
 0.3503017866086244,2.1326259415417654,4.983783722619215,-3.0487454160440963,1.0509053598258733,2.999999999999987,-0.30704010780520014,-178.5862422507884,-18.74362087709404,17.3848640978845
 0.3585887943459237,2.1414240393506696,4.983291205049841,-3.20407394727758,1.0757663830377713,2.9999999999999933,-0.3078071528169445,-178.44217374749732,-19.223757231825736,18.70676069053901
 0.3666569216192773,2.1501860210077854,4.982776912578719,-3.359173667296002,1.099970764857832,3.0,-0.30853026089850594,-178.29124522137388,-19.691988737469284,20.06243378050353
 0.3745206094109995,2.1589121664713087,4.982241054579902,-3.51402531872557,1.1235618282329987,3.0,-0.30920845838991207,-178.1334805057819,-20.148720507235677,21.451075386583124
 0.38219276519885925,2.1676027556994346,4.981683840427445,-3.6686094413831265,1.146578295596578,3.0000000000000147,-0.3098407741758925,-177.96890451359891,-20.59429238630053,22.87190165893653
 0.3896849835055113,2.176258068650358,4.981105479495406,-3.822906375812312,1.1690549505165342,3.0000000000000147,-0.31042624065821134,-177.79754323328189,-21.028988281340585,24.324149015458932
 0.3970077271873216,2.1848783852822757,4.980506181157839,-3.9768962668843613,1.1910231815619652,3.000000000000015,-0.31096389351841053,-177.61942372476352,-21.453043853927067,25.80707084255763
 0.4041704776874587,2.1934639855533824,4.9798861547888,-4.130559067478541,1.2125114330623765,3.0000000000000075,-0.31145277362821844,-177.43457411517892,-21.86665294430975,27.319934662785446
 0.41118186051538114,2.2020151494218743,4.979245609762342,-4.283874542436414,1.233545581546144,3.000000000000016,-0.3118919265037896,-177.2430235944243,-22.26997291352392,28.862019692307396
 0.4180497507735809,2.210532156845946,4.978584755452522,-4.436822272459578,1.2541492523207434,3.0,-0.3122804036446613,-177.04480241054753,-22.663129214189084,30.432614725823406
